2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_NOTICIAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 5]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PRODUTOS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 6]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_PROP_VAR already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 7]
2011-12-16 10:46:41 Notice: Notice (8): Constant UPLOADS_PATH_MARCAS already defined in [/home/osmaralves/Work/sites/b3net/casadacaldeira/config/core.php, line 4]
